"autonomous_system_number";"autonomous_system_organization"
57244;"OOO SP Millenium-Apsny"
57245;"Ojsc it21"
57246;"WellTelecom LLC"
57248;"Wisper s.r.o."
57249;"DNS NOVA Sp. z o.o."
57250;"Ru.Net Ltd."
57251;"LLC Intelcom"
57252;"Rg Fairplay S.r.l"
57254;"FHU SKANET Wojciech Capek"
57255;"Platkom Tele-Informatyka Piotr Platek"
57256;"Pros-Services S.A.R.L."
57257;"OOO Expertstroy"
57258;"SW IT Solutions Sp. z o.o. Sp. k"
57259;"Spot-net Ltd"
57260;"feratel Schweiz AG"
57261;"YarTV Ltd."
57262;"TeleMagic Ltd"
57263;"Bogusz Tucholski and Michal Senger trading as Elbonet S.C."
57265;"Storybel Snc"
57267;"Ionescu Vasile Intreprindere Individuala"
57268;"FGYP ZachitaInfoTrans"
57269;"Digi Spain Telecom S.l.u."
57270;"FOP Kushnir Aleksandr Andreevich"
57272;"Orion SKT LLC"
57274;"OJSC Petersburg Social Commercial Bank"
57275;"Centrul National de Raspuns la Incidente de Securitate Cibernetica"
57278;"Global Investment House K.S.C.C"
57279;"Sauron CZ s.r.o."
57280;"Iops AS"
57284;"Region Picardie"
57285;"Limited Liability Company ukrainian Infosystems"
57286;"Gigas Hosting S.A."
57287;"OtavaNet s.r.o."
57288;"StaMPi, spol. s r.o."
57289;"Infoseka, CJSC"
57290;"tackle Ltd"
57291;"AJM okna-vrata-sencila d.o.o."
57292;"Communications and IT Research Institute"
57293;"AG Telecom LTD."
57294;"Internet Expert s.r.o."
57296;"ZAO TransCreditCard"
57298;"Luis+Don Ltd."
57299;"Florescu Iulian-Paul PFA"
57300;"Comuni Riuniti XL s.r.l."
57302;"Kombinator Ltd."
57303;"LTD Luis+Severo-Zapad"
57304;"Superonlayn Ltd"
57305;"Comarch S.A."
57306;"Rambler Internet Holding LLC"
57307;"Blaze Networks Ltd"
57311;"Fop Iliushenko Volodymyr Olexandrovuch"
57312;"E.Soft Ltd."
57313;"Epsilon Ltd"
57314;"Glavkom Ltd"
57315;"Youand.co.uk Limited"
57316;"Med.co (medical Company) Srl"
57317;"Servermeile GmbH"
57318;"AS Baltic International Bank"
57319;"JSC Tander"
57320;"Ionit-telecom Ltd."
57321;"Aminet Wojtas Maciej"
57322;"YouWowMe Romania SRL"
57323;"CJSC Kubanoptprodtorg"
57324;"Al Lawn Al Akhdar International Company for Communications and Information Technology Ltd."
57326;"Infotreat SRL"
57328;"OOO Mir svyazi"
57329;"Centro di Produzione Spa"
57330;"PE Fivestars"
57331;"Republican Unitary Enterprise Research and Development Center of Information Resources and C"
57332;"TOM-NET s.c. Dariusz Koper, Radoslaw Koper"
57333;"KaspiyTelekom Ltd."
57334;"Saint Petersburg state unitary enterprise Automatic telephone exchange Smolny"
57335;"AAGlenn Internetworking Company"
57337;"VR Telecom SL"
57339;"TAN Ltd."
57341;"Financial Company financial Solutions Center Ltd"
57343;"Digimat s.r.l."
57344;"Telehouse EAD"
57345;"Suivant Sarl"
57347;"Ukrainian construction expertise LLC"
57348;"Oxya FRANCE SA"
57349;"Deps Ua LLC"
57350;"European Maritime Safety Agency"
57353;"vitroconnect GmbH"
57354;"SYSTEMA Ltd"
57355;"networkers.pl Sp. z o.o."
57356;"Highland Network Ltd"
57357;"Apadana Rayaneh Kimia Ltd."
57358;"Evolving Systems Bls Limited Guildford Sucursala Cluj Napoca"
57359;"Pyhanet Oy"
57360;"Tomasz Turek"
57361;"Starnet Networks Ltd."
57363;"CDNvideo LLC"
57364;"JSC Kombinat KMAruda"
57365;"Numintec Comunicaciones S.L."
57367;"ATM S.A."
57368;"LLC Spesials systems and technologies"
57370;"Swisscom (Switzerland) Ltd"
57371;"Mass-Net LLC"
57372;"OOO Comtelco"
57374;"Company for communications services ONE.VIP DOO Skopje"
57376;"Vaclav Rosa"
57377;"London Borough Of Merton"
57378;"JSC ER-Telecom Holding"
57380;"TeleNet LLC"
57381;"PE Fnutt Consulting Daniel Husand"
57382;"Telecommunication Tokelau Corporation Teletok"
57383;"FLP Sidorenko Aleksandr Aleksandrovich"
57384;"NETLINK Ltd."
57388;"I.B.C shpk"
57389;"ZNET Telekom Zrt."
57390;"Setera Oy"
57392;"Onlineshop Srl"
57393;"The Blue Zone East / Jordan"
57394;"Epic Networks S.r.l."
57395;"Hartl-EDV GmbH & Co. KG"
57396;"PE Aliev Magomed Kadievich"
57398;"PE Kravchenko Sergii Sergiyovych"
57399;"MONEX s.r.o."
57400;"Intervia B.V."
57401;"Alcohol Company Leader LLC"
57404;"F.h.u.comax Ryszard Tecza"
57406;"NP Zelenyi Mys"
57407;"CK Software GmbH"
57408;"Reed Smith LLP"
57410;"ZAO Mordovsky Bekon"
57411;"Novotehniks LLC"
57412;"Inform Standart Soft Ltd."
57414;"eustream as"
57416;"LLC South Internet"
57417;"Netgate Telecom and Information Technology Ltd,"
57418;"General-Telecom Ltd."
57419;"LLC on Air Ws"
57420;"LLC Foratelecom"
57421;"RussComm Ltd."
57422;"Pavutina.Net Ltd"
57423;"Sigterm Mikal Villa"
57424;"Limited liability company New Line"
57425;"The Chelyabinsk regional fund of Obligatory Medical insurance"
57426;"Anteacom S.r.l."
57427;"TARGO TELEKOM DOO Belgrade"
57428;"SD Intelect SRL"
57432;"Kostromskoi zavod avtokomponentov CJSC"
57433;"intercolo GmbH"
57434;"Kompyuternaya Firma Bagira Ltd."
57435;"APS Bank Limited"
57436;"Samer Abdel-Hafez"
57437;"ThyssenKrupp Business Services GmbH"
57438;"Krasnoyarsk State Medical University"
57439;"Unet Telecommunication Ltd"
57440;"Unitmedia Ltd."
57441;"Municipal Company Kharkov Metropolitan"
57442;"FOP Gradil Galuna Ivanivna"
57444;"Institutul National De Cercetari Aerospatiale elie Carafoli - I.n.c.a.s SA"
57445;"Administration of the President of Georgia"
57446;"Telemont Service S.R.L."
57448;"mogo, AS"
57449;"Ltd arentel"
57450;"Vulcan SA"
57451;"TV-Media LLC"
57452;"Summit Systems Ltd."
57453;"Vtb Capital Plc"
57454;"Shabakeh Gostar Payamavaran Kavir Company (Private Joint Stock)"
57457;"Asan Pardakht Persian Private Stock"
57458;"Global Arabian For Modern Applications LTD."
57459;"Euroanswer Outsourcing SRL"
57460;"PE Scherban Evgeniy Aleksandrovich"
57461;"Poshtkar Rayaneh Kharg Company PJS"
57462;"Umka Best LLC"
57463;"NetIX Communications Ltd."
57464;"Adi Com Soft Srl"
57466;"Eurasian Trade System Commodity Exchange OJSC"
57468;"Aza Telecom Sarl"
57469;"Azienda Pubbliservizi Brunico"
57470;"Intercom + LLC"
57471;"Orbita plus Vyazma Ltd."
57472;"JR-NET, s.r.o."
57473;"Education Managment Information System EMIS"
57474;"Nazhin Sepahan IT and data processing plc"
57476;"P.P.H.U A&K Chamerlinscy s.j."
57477;"Bank for Innovation and Development"
57478;"Dariusz Michal Lyczko trading as DAR.NET"
57479;"RIFT ltd."
57480;"Adam Siemieniako Projectpol"
57481;"Multiservice Ltd."
57482;"OJSC SMP Bank"
57485;"Interparts Computer Products BV"
57486;"Optel Telekom Tim d.o.o."
57487;"Advanced Solutions LLC"
57488;"Avena Technologie Beata Szulc"
57489;"JSC Telecom-Uslugi"
57490;"Satellite Telecom LTD."
57491;"KIM-RAY Ltd."
57492;"Host4Biz sp. z o.o."
57493;"PE Nikishkin Aleksandr Volodymyrovich"
57494;"Krek Ltd."
57495;"Biesse Solution Srl"
57496;"AIRESS CESKO s.r.o."
57497;"Faraso Samaneh Pasargad Ltd."
57498;"Smart-m Solutions LLC"
57499;"Ministarstvo,mora,prometa i infrastrukture"
57500;"Docentris Srl"
57501;"LLC Bestseller Ukraine"
57503;"OOO Taxtelecom"
57504;"Telemagic B.V."
57506;"Politiets Data- og Materielltjeneste (PDMT)"
57507;"Sokom S.r.l."
57508;"Alza ehf"
57509;"L&L Investment Ltd."
57510;"JSC Transstroibank"
57512;"OOO Sportmaster"
57513;"Mobile interim company 1 S.A.L."
57514;"Cloudbase Solutions Srl"
57515;"AT&T Global Network Services Nederland B.V."
57516;"Sia Mits Lv"
57517;"Ministrstvo za notranje zadeve"
57518;"Apollon LLC"
57519;"LTD Skorsonera"
57520;"Skyline Dawid Rachuta"
57522;"NextNet AS"
57524;"WEBTEAM s.c. Igor Kwiecien, Adrian Pysz"
57525;"Grandi Navi Veloci SpA"
57526;"LLC Uralskie Seti"
57528;"Ekassir-Banking Systems LLC"
57529;"ZAO GTNT"
57530;"GPM RadioLLC"
57531;"RegionInfocom Ltd."
57532;"Kabelska televizija Ravne d.o.o."
57533;"Delticom Ag"
57534;"PE Ahmedov Alil Aliomarovich"
57535;"RTV Satellite Net SRL"
57536;"MICROLINK Laszczyk Michal"
57537;"Net-D-Sign GmbH"
57538;"Prokuratura-Republika-Bulgaria"
57541;"Zenlayer Inc"
57544;"Zfort Group Ltd"
57545;"Kharkiv Palace Ltd"
57546;"BulIns Inc."
57547;"Alternet s.r.o."
57548;"Parzeller S + S GmbH & Co. KG"
57550;"OTP Banka Srbija"
57551;"E-commera Limited"
57552;"Onrela LLC"
57553;"Tendence LLC"
57554;"Zavarovalnica Maribor d.d."
57556;"HYVA Polska Sp. z o.o."
57557;"GUP VCKP Zilishnoe hozyaistvo"
57558;"Metis S.r.l."
57560;"XLNET s.r.o."
57561;"Sojuzpatent LLC"
57562;"Puls-KT LLC."
57563;"Isfahan University of Medical Science and Health Service"
57564;"BAJA Group s.r.o."
57566;"Wircom s.r.o."
57567;"Dumarca Services Limited LLC"
57569;"Enea S.A."
57570;"LTD QIWI Wallet"
57571;"LLC Telekonika"
57572;"Lesta Ltd."
57573;"JSC Greenatom"
57574;"Agriculture bank"
57576;"Penta SA"
57577;"Iran Power Generation transmission & Distribution Management Co."
57578;"Misaka Network LLC"
57579;"ZAO KPK Stavropolstroyoptorg"
57580;"Research Centre for Computer Science at the Russian Foreign Ministry"
57581;"Streeeming SAS"
57582;"AirNet Ltd."
57583;"Vashnet"
57584;"Nextradiotv SA"
57585;"Al-Mahara Trading FZCO"
57586;"Tourlink Organization Llp"
57587;"Integrirovannyie Seti Svyazi Ltd."
57588;"Hayat for Internet & communication LLC"
57589;"Equipment Support Ltd."
57590;"LLC Expaero"
57591;"Alpha system"
57592;"PHU HeNet Henryk Sadlo"
57593;"Mazowiecka Spolka Gazownictwa Sp. z o.o."
57594;"INFO-NET Ewa Sobolewska-Gryniewicz"
57595;"Netlogic doo"
57596;"ITH Ltd."
57597;"Pingdom AB"
57599;"Private Enterprise On Line"
57600;"Figen Yazilim Evi Tic.ltd.sti."
57601;"GlobalMoney Ltd"
57604;"OKDI For Trading And Services Sarl"
57605;"Helpteh Ukraine Ltd"
57607;"Haefele GmbH & Co KG"
57608;"DG-NET SA"
57609;"Kellogg Rus LLC"
57611;"Eigo Solutii Srl"
57612;"Isp Viplan LLC"
57613;"ESNET S.C. A.Andrzejewski, R.Celmer, K.Hepner, S.Lejman, P.Lewandowski, P.Liris, J.Reniecki,"
57614;"IP Syomka D.I."
57616;"Webcraft Found LLC"
57619;"Varna Data Center EOOD"
57620;"NIAGARA Ltd."
57622;"Auto Plus Bulgaria Jsc"
57623;"AGENDA komunikacijski in informacijski inzeniring d.o.o."
57624;"Beeks Trading Corporation Ltd"
57625;"EGRK-Ertebat Gostaran Rangin Kaman Ltd"
57626;"E-Zorg B.V."
57627;"Ilbit Telecom Ltd."
57628;"ZAO Center of Financial Technologies"
57629;"Limited Liability Company Ivi.ru"
57631;"Smart Telecom Limited"
57633;"Ariane Network SAS"
57634;"SKAT POPOVO Ltd."
57636;"Olborg Ltd"
57637;"Government of the Khabarovsk Krai"
57638;"Tarq Automatisering B.V."
57642;"Figaro Classifieds S.A."
57643;"AirCity Krzysztof Janukowicz"
57644;"Subitech Sia"
57645;"OOO LICARD"
57646;"Likeit Solution Srl"
57647;"Baupartner S.R.L."
57653;"Central Technology Ltd"
57655;"Private Entrepreneur Svitlana Sapunova"
57656;"Altia Consultores S.A."
57657;"Nicom Wireless Kft."
57658;"Cjsc Autoassistance"
57659;"SPD Samoilov Mikhail Ivanovich"
57660;"Com4 AS"
57661;"Deil Ltd."
57662;"LLC citygold"
57664;"F-Solutions Oy"
57665;"EVIO Polska Sp. z o.o."
57666;"Kupat-Holim-Clalit"
57667;"Uptime Informations-Technologie GmbH"
57669;"Pulsant Limited"
57670;"openway LLC."
57671;"JSC Oil Processing Company"
57672;"Daniel James Austin"
57673;"Hostclean Srl"
57675;"Seabak LLC"
57676;"Azienda elettrica ticinese"
57677;"Sintelec Informatica, S.l."
57678;"Holcim Group Support Ltd"
57679;"Teleradiocompany Tonus Ltd"
57680;"Fc lokomotiv Moscow"
57681;"OJS Moscow city telephone network"
57682;"Tov Host Vds"
57683;"Closed Joint Stock Company Monitor Electric"
57684;"Wasserversorgung Bayerischer Wald"
57685;"Webfra B.V."
57686;"Company Dobrobut Association for Students, PhD Students and Doctors National Technical Unive"
57687;"Abazarhaye Farsi Shabakeh (Persian Tools) Co.,LTD."
57689;"Rashid Abdul Rahman Al Rashid & Sons Co."
57691;"Netconfig SRL"
57692;"Kapsi Internet-kayttajat ry"
57693;"Cards & Systems EDV Dienstleistungs GmbH"
57694;"HARDIS SAS"
57695;"Misaka Network LLC"
57699;"PE Filipets Igor Victorovych"
57700;"DeepCo Ltd"
57701;"Myszkowska Telewizja Kablowa Sp. z o.o."
57702;"Masdar Institute of Science and Technology - MIST"
57703;"Star Media LLC"
57704;"SpeedClick for Information Technology and Communication Ltd"
57705;"Lifoet-2007 Ltd"
57707;"Greendata s.r.o."
57708;"OJSC Chepetsky Mechanical Plant"
57709;"Private joint-stock company International bureau of credit histories"
57710;"KOREX networks, s.r.o."
57711;"NetLine Ltd."
57712;"NPF SOFTVIDEO Ltd."
57713;"Societatea Comerciala ACER-COM S.R.L."
57714;"Gulf Bank Public Shareholding"
57715;"Rojek Emil CAFE-NET"
57716;"Skynet Telecom s.r.o."
57718;"INM s. j. Tomasz Chomko, Mariusz Lisowski, Piotr Margol"
57719;"Kuwait Oil Tanker Company S.A.K."
57720;"Wrist Ship Supply A/S"
57721;"Flash Networks Ltd."
57722;"N.SH.T ATI-KOS sh.p.k"
57723;"Media Telekom Sp. z o.o."
57724;"Ddos-guard Ltd"
57725;"Individual entrepreneur Noroshkin Vladimir Aleksandrovich"
57726;"PE Teleradiocompania RKT-2"
57727;"Quick-links"
57728;"Russobit-trade Limited"
57729;"Kopavogsbaer"
57730;"MegaCom Ltd."
57731;"DiViNetworks LTD."
57732;"Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd"
57734;"France IX Services SASU"
57737;"Joint Stock Company Angarsk Electrolysis Chemical Complex"
57739;"dogado GmbH"
57740;"Hermes Datacommunications International Limited"
57741;"Uzel Svyazy Ltd"
57742;"TVT LLC"
57743;"Green Networks LTD"
57744;"Security Monitoring Centre B.V."
57745;"Tarbiat Modares University"
57746;"Macosoft SRL"
57747;"Netkontakt Kft."
57749;"Energocomplex LLC"
57750;"NDS Group Ltd"
57752;"Normhost Sarl"
57753;"Radist LTD"
57754;"Automation and Relationship-Service LLC"
57758;"CVO-Technologies V.O.F"
57760;"Kinet s.r.o."
57762;"Market Link LLC"
57763;"SelfNet Internet Ges.m.b.H."
57764;"Image TV Ltd"
57765;"Optix JSC"
57766;"ENERGOINFORM Ltd"
57767;"Federal State-owned Enterprise Russian Television and Radio Broadcasting Network"
57768;"Micronet LTD"
57771;"S.J.M. Steffann"
57773;"1Access Sweden AB"
57774;"FOP Solomko Yuriy Vladimirovich"
57775;"Compseq SRL"
57776;"Urscom-TV S.R.L."
57777;"Skalab Affarsutveckling AB"
57778;"Elie Achkar trading as Micro Smart System"
57779;"ICTIS.CZ s.r.o."
57781;"LLC Yarteleservice"
57782;"Violayn LLC"
57784;"NDS Group Ltd"
57785;"Wifi Group Solutions SRL"
57786;"Bravo Online Systems LLC"
57787;"Zeonbud Ltd."
57790;"Licurici Import Export S.r.l."
57791;"Arden Broadband Ltd"
57792;"Suvoda Software Srl"
57794;"Ellinika Diktia Kalodion Mepe"
57795;"Next Gen Networks B.V."
57796;"Freight Link OJSC"
57797;"Ferb ltd."
57798;"IT-Net ltd."
57800;"Cadr-TV LLE TVRC"
57801;"SK-NIC, a.s."
57803;"TeleServis Ltd"
57804;"Smartlink LLC"
57805;"OOO NUTEP"
57806;"OJSC Commerical Bank Ural Financial House"
57808;"SAT-DV LLC"
57809;"Serveurcom SRL"
57810;"Mazowiecki Port Lotniczy Warszawa-Modlin Sp. z o.o."
57811;"Atende Software sp. z o.o."
57812;"PE Yakovlev Stanislav Stanislavovich"
57813;"Cash Services Company"
57814;"WEBCOM Ltd"
57815;"Netergy Expert Sistems SRL"
57816;"Samen Ertebat Asr Co. (P.J.S.)"
57817;"Gruppo Torinese Trasporti S.p.A"
57818;"SKTV Ltd."
57820;"City-Stream Ltd."
57821;"Mr Florian Riehm"
57822;"CTV-Belovo LLC"
57823;"INERCOM, s.r.o."
57824;"MetroNet Ltd"
57825;"Diamond-Traid Ltd."
57826;"Svyaz-INKOM-Servis i telekommunikatsii Ltd."
57827;"Svyaz Komplekt Ltd."
57828;"National Recovery Service Ltd."
57830;"Eclipse Trade Ltd."
57832;"Vstack Europe Sp. z o.o."
57833;"Universal Services of America, LP"
57834;"Bp Petrolleri A.S"
57835;"Federal State Unitary Enterprise ELEKTROSVYAZ"
57836;"Company Hatanet Ltd"
57837;"DTS Systeme GmbH"
57838;"AXSOS AG"
57839;"Carrefour Organisation et Systemes Groupe SAS"
57841;"Telenet SIA"
57842;"UralKonnektServis LLC"
57843;"InterLogica Ltd."
57844;"SPDNet Telekomunikasyon Hizmetleri Bilgi Teknolojileri Taahhut Sanayi Ve Ticaret A.S."
57846;"Sator Tech di Gagliardone Andrea Impresa Individuale"
57847;"PE ChAYKOF"
57849;"Flex Tech LLC"
57850;"Northumbrian Water Ltd"
57851;"Genesis Housing Association Limited"
57852;"Cloud S P Sarl"
57853;"Iron Cloud S.A."
57854;"Alterna Intertrade d.d., druzba za racunalniski inzeniring, Ljubljana"
57856;"Nekommercheskiy Fond razvitiya Liceya N1 g. Petrozavodska"
57857;"LLC WinNER"
57858;"Inter Connects Inc"
57860;"Zencurity ApS"
57861;"Strojtelkom Ltd."
57862;"mars 019 Telecom LTD"
57864;"MEGABIT SERVIS Ltd."
57865;"RSB, s.r.o."
57866;"Fusix Networks B.V."
57867;"Plekhanov Russian University of Economics"
57869;"MISS.NET d.o.o."
57871;"TeleCentr Ltd."
57872;"Phoenix Nap, LLC."
57873;"SONICTEST Ltd."
57874;"Eurocabel Ltd."
57875;"Port Lotniczy Wroclaw SA"
57876;"PJSC UAZ"
57877;"Vozelia Telecom SL"
57878;"Prager NCC KG"
57879;"Eximprod Servicii Suport Srl"
57880;"Proper Support LLP"
57881;"JSC ENERGO-PRO Georgia"
57882;"Network projects Ltd."
57884;"World Phoning Group SRL"
57885;"Oikumena CJSC"
57886;"Havelsan Hava Elektronik Sanayi Ve Ticaret A.s."
57887;"FOP Pavlenko Andrey Pavlovich"
57888;"Telesat d.o.o."
57889;"FHU MAX-SERWIS Robert Smoter"
57890;"Potel Spolka Cywilna M. Ryckiewicz, J.Repinski, M.Weryk"
57892;"Stayfriends GmbH"
57893;"LLC Altarion"
57894;"FOP Leonova Yliya Olexandrivna"
57895;"PE Khramova Ludmila Grigorievna"
57896;"Ynet Management Pawel Skrodzki"
57897;"MOBITEX Dariusz Chorazewicz"
57898;"DNS Retail Ltd."
57899;"Alushta Telecommunication Systems Ltd."
57900;"Saudi British Bank"
57901;"Pautina Ltd."
57902;"Metro Optic SASU"
57903;"FOP Mustafaev Rustem Dilyaverovich"
57904;"Vevynet s.r.o."
57905;"Zaklady Azotowe pulawy Spolka Akcyjna"
57906;"Kupishoes LLC"
57907;"CloudConnX Limited"
57908;"Bilad Al-Rafidain Company for Informatics and Communications Services Ltd"
57910;"Soluciones Corporativas IP, SL"
57911;"Miltenyi Biotec GmbH"
57912;"Asyst EOOD"
57914;"Bank Audi SAL - Audi Saradar Group"
57915;"Unwire ApS"
57916;"Larom TV SRL"
57917;"Sherkat khadamat tasisati jahan sabz mashad PLC"
57918;"ACOD JSC"
57919;"Wicom Ltd."
57922;"Zampediverse srl"
57923;"Dymovskoe sausage production Ltd."
57924;"Utility enterprise Company Donbass Water"
57926;"SafeDNS, Inc."
57928;"Prodware SA"
57930;"VTB Insurance, Ltd."
57934;"It Support & Consulting Srl"
57935;"Nexon Europe GmbH"
57936;"Noavaran Houshmand Zagros Co. (PJS)"
57937;"Sama S.A.L. Offshore"
57938;"Netop Tech Srl"
57939;"DKB Service GmbH"
57940;"Limited Company Sviaz-Stroy"
57941;"Limited Company Sviaz-Stroy"
57942;"Tektura Opakowania Papier S.A."
57943;"Izzycom SAS"
57944;"IP-Connect LLC"
57945;"Quicktel Sp zoo"
57946;"AS Edvaisers"
57947;"Business IT Ltd."
57948;"Cobalt Group BVBA"
57949;"PE Zalessky Artur Eduardovich"
57950;"Kcell Solutions LLP"
57951;"Yacast France SAS"
57952;"PE Kamenschikov Aleksandr Valerievich"
57953;"OJSC Setevaya kompaniya"
57954;"FOP Budko Dmitro Pavlovich"
57955;"Gridcore AB"
57956;"RP SIA Rigas Satiksme"
57957;"eruxo llc"
57958;"Alasas Company For Telecommunications Services And Information Technology Ltd"
57960;"PE Snitcar Olexandr Antonovich"
57961;"Qendra Nderuniversitare e Sherbimeve dhe Rrjeti Telematik"
57962;"LLC Ug telekom grup"
57963;"Lynet Internett AS"
57966;"INTRATEL Sp. z o.o."
57967;"Bahlnet AB"
57968;"Ministry of Foreign Affairs of Saudi Arabia"
57970;"Ole Comunicacion S.l."
57972;"Inter Connects Inc"
57973;"Igrovye resheniya Ltd."
57975;"V.I.P. Mining Consulting co.ltd"
57976;"Blizzard Entertainment, Inc"
57977;"Isvtec Sarl"
57978;"Digi Com ISP Radoslaw Sikora"
57981;"FOP Kachanovskiy Sergey Sergeevich"
57982;"AMIK LLC"
57983;"TOYA S.A."
57985;"Corporation 'Niko Management'"
57987;"Ems-chemie Ag"
57988;"Foton LLC"
57990;"PE Aliev Murad Ahmedovich"
57991;"LLC id Strategy"
57993;"FOP Khalik Andrey Volodumurovuch"
57994;"NetEarth UK Ltd"
57995;"IT For Business LLC"
57997;"Nexthop AS"
57998;"P.i.w. Anfa S.c."
57999;"LLC DataNet ISP"
58000;"MTN Ltd."
58002;"OJSC Svyazinform"
58003;"Planeetta Internet Oy"
58004;"STIME SAS"
58005;"One Voice AS"
58006;"LTD Technet"
58007;"LLC Iks-telekom"
58008;"OAO Trade House Russky Holod"
58009;"Energodata Ltd."
58010;"uvensys GmbH"
58011;"Cheops Technology France S.A."
58012;"Sultanahmet Turizm A.S."
58014;"ZUTOM s.r.o."
58015;"FUP Gorlenko Tamara Grigorievna"
58017;"Bondspot S.A."
58018;"Net-style Atarim Ltd"
58019;"OOO ITELIS"
58020;"Tersys Company LLC"
58021;"Suprovich Natalya Petrivna PE"
58022;"A.g.e. Networks Sistems S.r.l."
58023;"IT Assist Services SRL"
58024;"Dzinet Ltd."
58025;"Advanced Petrochemical Company JSC"
58026;"Open joint stock company e-Government operator"
58027;"PE Korobeynikov Sergey Nikolaevich"
58028;"Valoris Center Srl"
58029;"Facecast, LLC"
58030;"Sorat Gostar Ertebatat Parsian Co.(Ltd.)"
58031;"Government Communication Agency, republic of Abkhazia"
58032;"Fortunat LLC"
58034;"Aeroportul Cluj-Napoca RA"
58035;"Urzad Miejski w Zabrzu"
58036;"SkyLine Ltd."
58037;"Masterra.ru LLC"
58038;"Alpha Wind SRL"
58039;"Zet-Service Ltd"
58040;"Host Lincoln Limited"
58042;"State Educational Institution of Higher Vocational Education The Bonch-Bruevich Saint-Peters"
58043;"Medicarom Group Srl"
58044;"free-zona s.r.o."
58045;"Sports.ru LLC"
58046;"Republika Slovenija Ministrstvo za javno upravo"
58047;"JSC CentrInform"
58048;"Bezheckaya Internet Company ltd."
58051;"Atik Pasa Turizm A.S."
58052;"Maxinet Communications Srl"
58053;"Tam Iran Khodro Company"
58054;"TV-NET LLC"
58055;"Extratel Ltd"
58056;"IKT, d.o.o."
58058;"Adir Soft Advertising SRL"
58059;"Wifiber Haberlesme Teknolojileri Ve Iletisim Hizmetleri San Ve Tic Ltd Sti"
58060;"System Solutions Ltd."
58061;"Blueview Broadband Ltd"
58063;"Voronezh State Technical University"
58064;"Mitsubishi Caterpillar Forklift Europe B.V."
58066;"Puchkov Yuriy Volodimirovich PE"
58067;"OAO Chitatehenergo"
58069;"Karlsruhe Institute of Technology"
58071;"Peoples Friendship University Of Russia"
58072;"Zenon-Region Ltd."
58073;"YISP B.V."
58074;"IPv4 Management SRL"
58075;"X2Com B.V."
58076;"Joint-venture company with limited liability Game Stream"
58077;"ESBANK Bank Spoldzielczy"
58078;"Mairon Galati SA"
58079;"Skynet Ltd"
58080;"Honar Rayaneh Pooya Andisheh PJSC"
58081;"Baloot Communication Network Private Limited Company"
58082;"Roscomsvyaz Ltd"
58083;"Gemeente Zaanstad"
58084;"Newcontact ltd."
58085;"Esfahan Telecommunication Company (P.J.S.)"
58086;"Volna Ltd"
58087;"Cjsc Business Partner"
58090;"OJSC Dimitrovgrad Automobile Units Plant"
58091;"OOO Firma BIOHIMTEH"
58092;"Parexel International Gmbh"
58093;"Elektron-M Ltd."
58094;"Vnukovo International Airport, JSC"
58095;"LLC Lan-Link"
58096;"Viter Evgeniy Vasilevich"
58097;"OOO Taxcom"
58098;"Szatmarnet Bt."
58099;"GUM Limited Liability Company"
58100;"OJSC Dalcombank"
58102;"2Dmedia Ltd."
58105;"Chita.Ru Ltd."
58106;"Schultze & Braun GmbH"
58107;"JSC MRSK Urala - Permanergo"
58108;"United Shipbuilding Corporation, JSC"
58109;"Starcard Banka Kartlari Merkezi Ltd"
58111;"Vestas Wind Systems"
58112;"OJSC Sberbank Russia"
58113;"S.t.d. Lisieux S.r.l."
58114;"Vincon Vrancea SA"
58116;"Mamba CJSC"
58118;"SC ADINET-Com SRL"
58119;"JSC CIB"
58121;"Arya Pars Internet Gostar Co."
58122;"NorthgateArinso Belgium NV"
58125;"Trade Promotion Organization Of Iran"
58126;"Yeryo International SRL-D"
58127;"Cdnbt Bilgi Teknolojileri ve Hizmetleri Limited Sirketi"
58128;"Comunicaciones Angel Araque Viamovil S.L."
58129;"actindo GmbH"
58130;"rsnet s.r.o."
58131;"Organization for Security and Co-operation in Europe"
58134;"Svyazservis Ltd."
58135;"ZAO Kaluga Astral"
58136;"OOO RGTS Parus"
58138;"Korton Internet B.V."
58140;"Netuity Networks Sp. z o.o."
58141;"Ip-one B.v."
58142;"Samaneh Sama Pishro Persian Communications and Information Development Company PJS"
58143;"Mediabridge United Ltd."
58144;"The Streaming Company.com Limited"
58147;"Bell Integrator JSC"
58148;"Ironside Systems Ltd."
58149;"Volkswohl Bund Lebensversicherung a.G."
58151;"National Library of Turkey"
58152;"Voshka Niknam"
58155;"Web Depo Ltd"
58156;"Halk Yatirim Menkul Degerler A.s"
58157;"RIcentr LLC"
58158;"KTV Ltd."
58161;"IRAN POST Company"
58162;"FOP Lukyanenko Aleksandr Ivanovich"
58163;"OAO EXIAR"
58164;"FLP Zasseev A. R."
58166;"Banka Credins"
58169;"Iran Grid Management Company (IGMC)"
58170;"Prompt Service Computer Srl"
58172;"TOO Open WiFi Corporation"
58173;"Nucleus VP Group Limited"
58174;"Power Electric Srl"
58175;"AD Auto Total SRL"
58177;"Cic S.c.r.l."
58178;"Grand Auto Ltd."
58179;"Asseco SEE d.o.o."
58180;"Fullwebserver S.r.l."
58182;"Wix.com Ltd."
58183;"Banvit Bandirma Vitaminli Yem Sanayi A.s"
58184;"Lacot Industry LLC"
